,cc01-20covid1,cc01-20covid2,cc03-19covid,cc01-20mock2,cc01-20mock1,cc03-19mock1
ADCK2,1142,1259,1047,1092,1261,914
MKRN1,7374,7279,10414,7290,7758,5834
AGAP3,5549,5100,4263,2762,2597,4861
KRBA1,140,151,169,137,89,61
ZNF767P,275,300,563,537,814,155
ACTR3B,267,272,181,249,431,268
NTS,0,3,0,0,0,0
BTG1,3598,3843,10935,8320,10246,4295
LRRIQ1,101,165,19,151,300,6
C12orf29,1816,1869,2652,1556,1255,1740
ATP13A3,2744,2763,3037,2039,2888,4528
SFTPD,1414,1454,415,8498,10268,1110
DYDC2,101,119,9,179,252,6
TMEM254,1502,1355,1130,1949,1959,1387
TMTC1,102,165,793,228,138,1009
KRAS,2934,2836,3176,2044,1974,2066
IPO8,1038,1138,894,720,727,1192
LARS1,6832,6295,4200,3943,5255,6265
SPINK5,1885,1913,2412,19951,6377,6337
IMPA1,1372,1310,1642,687,1051,1335
LRRCC1,592,509,218,396,491,187
E2F5,333,384,249,368,365,277
CA1,0,9,0,17,1,0
CCDC59,610,572,750,514,610,557
SWAP70,3794,4402,5250,2108,2310,3574
ARNTL,1465,1134,891,855,906,1004
LYVE1,0,3,12,11,0,10
AMPD3,1176,957,3421,1142,1311,1681
SBF2,264,343,1054,917,1160,850
MICAL2,10701,11381,6062,4282,5925,4738
RRAS2,4085,3732,2993,1277,1926,3056
HSD17B4,11283,12296,7351,9163,9399,8211
ZFC3H1,853,960,2090,2320,2454,1365
TEX15,0,0,13,0,6,0
SARAF,10487,10534,9456,8540,9864,7490
RNF122,9,11,2,7,26,0
DUSP26,0,3,0,0,0,6
DPF2,2833,2812,3292,2646,3210,2463
MEN1,2812,2617,2177,1651,2203,2003
ERG28,5233,5704,2699,2502,2698,3876
GSC,0,0,0,0,0,0
DGLUCY,2447,2555,2967,3040,3503,1500
UNC79,22,31,28,13,3,5
NUMB,6508,6215,7961,4698,4828,6220
CATSPERB,62,55,92,39,40,63
VRTN,0,0,0,0,0,0
COX16,1963,2112,1554,1628,1576,1784
TTC9,4299,4548,11796,5150,2923,4636
MED6,1200,1298,1808,958,986,1249
EIF2S1,7483,7941,5464,3040,3358,7356
ADAM20,2,0,1,8,0,0
LOXL2,1813,1654,3841,5440,7563,8071
ELP3,1605,1699,1262,1088,1433,1546
PEBP4,973,956,845,5662,7781,491
ADAMDEC1,0,0,177,180,233,112
CTIF,340,368,795,495,507,530
MRO,0,0,1,0,1,0
MBD2,3614,3817,4829,2459,2467,4190
IER3IP1,2688,2921,2620,2344,2397,2139
MRPS36,998,1108,751,765,685,788
CCNB1,3305,3877,1953,476,443,3739
CDK7,1645,1549,1184,889,841,1629
CD180,0,0,4,1,3,0
IRAK2,1363,1097,1825,915,687,1393
CAMK1,655,595,343,269,343,283
THUMPD3,1817,1719,1536,1358,1416,2030
VHL,978,883,1093,894,991,1111
BHLHE40,9342,9736,16064,18090,27546,12072
ARL8B,7245,6736,8689,5022,5034,6060
EDEM1,8302,8877,6207,4875,6314,6179
CNTN6,73,79,23,55,93,2
CHL1,180,238,251,142,361,271
MEIS2,226,234,334,253,288,256
DPH6,296,303,222,300,339,446
